Data,,,,,,Data,Data,Data
Desktop    Mid-westAID_001Individual94Yes#3.2:170,,,,,,,,
Laptop         WestAID_002SME83Yes#2.4:250,,,,,,,,
Misc.          NorthAID_003Individual76Yes#2.7:160,,,,,,,,
Misc. WestAID_004Large Corporate76No#2.7:170,,,,,,,,
Laptop   EastAID_005SME67Yes#2.7:0,,,,,,,,
Monitor                EastAID_006SME62Yes#2.9:240,,,,,,,,
Misc.                           WestAID_007SME84Yes#3.2:0,,,,,,,,
Laptop    Mid-westAID_008SME63Yes#2.2:120,,,,,,,,
Monitor               NorthAID_009SME81Yes#3.2:160,,,,,,,,
Desktop   NorthAID_010Non-profit79Yes#3.5:290,,,,,,,,
Laptop       Mid-westAID_011Large Corporate63Yes#3.4:0,,,,,,,,
Desktop    SouthAID_012Large Corporate75Yes#3.3:230,,,,,,,,
Software               Mid-westAID_013SME67Yes#4:200,,,,,,,,
Software    SouthAID_014Individual86Yes#3.4:250,,,,,,,,
Monitor    Mid-westAID_015Non-profit90Yes#3.4:0,,,,,,,,
Accessories         EastAID_016Non-profit77Yes#2.3:190,,,,,,,,
Laptop          WestAID_017Non-profit87No#2.4:200,,,,,,,,
Software EastAID_018Individual69Yes#3.2:240,,,,,,,,
Misc.   NorthAID_019Individual76Yes#2.4:200,,,,,,,,
Software                EastAID_020Non-profit87Yes#3.3:170,,,,,,,,
Laptop                           Mid-westAID_021Individual86Yes#3.1:150,,,,,,,,
Software    EastAID_022Large Corporate79Yes#2.5:170,,,,,,,,
Misc.               NorthAID_023Non-profit65Yes#2.4:210,,,,,,,,
Laptop   EastAID_024SME77Yes#2.8:200,,,,,,,,
Software       SouthAID_025Non-profit82Yes#3.9:240,,,,,,,,
Software    SouthAID_026SME76Yes#3.4:150,,,,,,,,
Desktop               NorthAID_027SME76Yes#2.8:0,,,,,,,,
Software    EastAID_028Large Corporate83Yes#2.6:200,,,,,,,,
Laptop    NorthAID_029Non-profit78Yes#3.8:280,,,,,,,,
Desktop         Mid-westAID_030Large Corporate75Yes#3.8:250,,,,,,,,
Laptop          EastAID_031Individual69Yes#2.8:140,,,,,,,,
Laptop NorthAID_032Individual82Yes#3.6:0,,,,,,,,
Accessories   NorthAID_033Large Corporate66Yes#4:0,,,,,,,,
Misc.                EastAID_034SME77Yes#2.9:0,,,,,,,,
Monitor                           NorthAID_035Large Corporate69Yes#3.6:220,,,,,,,,
Monitor    Mid-westAID_036Individual75Yes#2.9:180,,,,,,,,
Monitor               Mid-westAID_037Individual77Yes#2.3:0,,,,,,,,
Accessories   EastAID_038Non-profit78Yes#3.2:0,,,,,,,,
Monitor       WestAID_039Large Corporate82Yes#2.8:260,,,,,,,,
Desktop    WestAID_040Non-profit56Yes#3:240,,,,,,,,
Accessories               SouthAID_041Large Corporate86Yes#4:190,,,,,,,,
Software    NorthAID_042Individual66Yes#2.8:0,,,,,,,,
Desktop    Mid-westAID_043Large Corporate96Yes#2.8:190,,,,,,,,
Misc.         Mid-westAID_044SME60Yes#2.7:0,,,,,,,,
Software          Mid-westAID_045Non-profit70Yes#3.8:180,,,,,,,,
Laptop WestAID_046Non-profit78Yes#2.1:280,,,,,,,,
Laptop   SouthAID_047Individual74Yes#3.5:190,,,,,,,,
Laptop                SouthAID_048Large Corporate79Yes#2.9:160,,,,,,,,
Misc.                           WestAID_049SME76Yes#3:90,,,,,,,,
Desktop    Mid-westAID_050Individual72Yes#1.9:0,,,,,,,,
Laptop               WestAID_051Individual65Yes#2.7:0,,,,,,,,
Desktop   NorthAID_052Large Corporate78Yes#3.4:170,,,,,,,,
Laptop       WestAID_053Non-profit78Yes#2.6:270,,,,,,,,
Software    EastAID_054Individual78Yes#2.5:180,,,,,,,,
Laptop               EastAID_055SME65Yes#2.7:150,,,,,,,,
Monitor    Mid-westAID_056Non-profit58Yes#3.8:240,,,,,,,,
Desktop    SouthAID_057Large Corporate67Yes#3.1:0,,,,,,,,
Misc.         Mid-westAID_058Individual75No#2.5:0,,,,,,,,
Misc.          EastAID_059SME83Yes#2.9:190,,,,,,,,
Laptop SouthAID_060Individual67Yes#2.6:130,,,,,,,,
Accessories   WestAID_061SME60Yes#2.4:0,,,,,,,,
Desktop                NorthAID_062Non-profit76Yes#3.3:220,,,,,,,,
Laptop                           Mid-westAID_063Individual73Yes#3.5:220,,,,,,,,
Laptop    EastAID_064SME82Yes#3:140,,,,,,,,
Misc.               NorthAID_065Large Corporate72Yes#2.8:160,,,,,,,,
Software   EastAID_066SME69Yes#2.6:330,,,,,,,,
Laptop       EastAID_067Non-profit76Yes#3.8:100,,,,,,,,
Misc.    Mid-westAID_068Non-profit64Yes#3.4:250,,,,,,,,
Desktop               WestAID_069Large Corporate69Yes#3.6:180,,,,,,,,
Monitor    NorthAID_070Individual78Yes#3.3:200,,,,,,,,
Monitor    Mid-westAID_071Individual80Yes#2.9:110,,,,,,,,
